species,source,reference_link,population_ID,reference,trait,unit,mean.male,n.male,SD.male,mean.female,n.female,SD.female,comments,exclude,location,Measurement
Passer montanus,Mónus et al.2011,https://www.researchgate.net/profile/Zoltan-Barta/publication/256841231_INTERSEXUAL_SIZE_AND_PLUMAGE_DIFFERENCES_IN_TREE_SPARROWS_PASSER_MONTANUS_-_A_MORPHOLOGICAL_STUDY_BASED_ON_MOLECULAR_SEX_DETERMINATION/links/546f475e0cf2d67fc03107c2/INTERSEXUAL-SIZE-AND-PLUMAGE-DIFFERENCES-IN-TREE-SPARROWS-PASSER-MONTANUS-A-MORPHOLOGICAL-STUDY-BASED-ON-MOLECULAR-SEX-DETERMINATION.pdf,237,new,wing length,mm,73,54,1.2848,70.1,58,1.54921,"Reported CV.male: 1.76., CV.female: 2.21; original SD.male: 1.2848, SD.female: 1.54921; no mention of measurement method",No,Botanical Garden of the University of Debrecen (Hungary),"""Wing length (...) were also measured to explore morphological differences between sexes."""
Phaethon aethereus,Nunes et al. 2013,https://doi.org/10.1675/063.036.0312,238,new,wing chord,mm,324.92,39,6.6,320.62,40,5.39,Original species: Phaeton aethereus,No,"Abrolhos archipelago (17° 58’ S, 38° 42’ W)",Wing chord was measured using a metal rule with stop (± 1 mm)
Phaethon lepturus,Nunes et al. 2013,https://doi.org/10.1675/063.036.0312,239,new,wing chord,mm,271.84,32,6.33,276.56,25,6.1,Original species: Phaeton lepturus,No,"Fernando de Noronha archipelago (3° 51’ S, 32° 25’ W)",Wing chord was measured using a metal rule with stop (± 1 mm)
Phaethon rubricauda,Boland et al. 2004,https://doi.org/10.1111/j.1474-919x.2004.00310.x,240,R&E2013,wing length,mm,338.5,28,7.408104,337.6,24,7.838367,"Reported SE.male: 1.4, SE.female: 1.6; original SD.male: 7.71660176991151, SD.female: 8.01887010309278. AST: SD estimates differ by around 0.2 depending on whether one back-transforms CV (larger SD) or SE (used)",No,"North East Herald Cay (16°56?40??S, 149°11?37??E)","""length of the flattened wing (...) measured using a ruler"""
Phaethon rubricaudus,Veit & Jones 2003,https://doi.org/10.1093/auk/120.4.1033,241,R&E2013,wing length,mm,324.6,62,7.086607,323.8,63,6.349803,"Reported SE.male: 0.9, SE.female: 0.8; original SD.male: 7.1412, SD.female: 5.8284. AST: SD estimates differ depending on whether one back-transforms CV (larger SD) or SE (used)",No,"Tern Island, French Shoals in the Northwestern Hawaiian Islands (23°45’N, 166°15’W)","""Left and right wing (flattened and straightened) (...) were measured to the nearest 1 mm using a 45 cm stainless steel wing ruler,"""
Phalaropus lobatus,Rubega 1996,https://doi.org/10.1002/(SICI)1097-4687(199604)228:1<45::AID-JMOR4>3.0.CO;2-O,242,R&E2013,wing chord,mm,110.24,29,3.392654,113.04,24,4.213122,"Reported SE.male: 0.63, SE.female: 0.86; original SD.male: 3.38823111111111, SD.female: 4.21767389690722",No,Mono Lake (eastern California),Unflattened wing chord
Philomachus pugnax,Karlionova et al. 2007,https://doi.org/10.1080/03078698.2007.9674359,243,R&E2013,wing chord,mm,194.9,1120,3.48,161.3,836,2.98,"Original trait: wing length (measurement mentions wing chord instead of the reported ""wing length"")",No,"Turov (Gomel Region, 52°04’N 27°44’E)",wing length (maximum chord method: Evans 1986)
Phylidonyris novaehollandiae,Myers et al. 2010,https://doi.org/10.1007/s10336-009-0454-7,244,R&E2013,wing length,mm,79.78,47,2.399479,73.35,34,2.099143,"Original source: Yers et al.2010; reported SE.male: 0.35, SE.female: 0.36",No,"Kangaroo Island (island), South Australia",length of the flattened wing (wing) (mm)
Phylidonyris novaehollandiae,Myers et al. 2010,https://doi.org/10.1007/s10336-009-0454-7,245,R&E2013,wing length,mm,79.1,175,2.645751,74.14,116,2.907989,"Original source: Yers et al.2010; reported SE.male: 0.2, SE.female: 0.27",No,"Mount Lofty Ranges region (mainland), South Australia",length of the flattened wing (wing) (mm)
Phylloscopus canariensis,Melián 2018,https://doi.org/10.2326/osj.17.37,246,new,wing length,mm,55.4,230,1.18,50.5,183,1.15,"SE.male: 1.18, SE.female: 1.15; original SD.male: 1.18, SD.female: 1.15; unsure about inclusion: unknown ""method of maximum string"". Although paper says to report SE, it is clear that it is actually SD, otherwise, there would be individuals with impossible wing lengths such as 10 or 100, which do not exist according to the reported range",No,"La Palma, Canary Islands (28°40?N, 17°50?W)","""wing length using the method of maximum string""wing length using the method of maximum string"""
Phylloscopus collybita,Tiainen 1982,https://www.jstor.org/stable/23734871,247,new_21,wing length,mm,66.7,14,1.49,59.7,9,0.92,NA,No,"Lammi Biological Station (61° 03'N, 25° 03' E)",wing length (Svensson 1975)
Phylloscopus inornatus,Marchetti 1998,https://doi.org/10.1006/anbe.1997.0586,248,R&E2013,wing length,mm,58.58,185,1.68,54.05,118,1.52,No clear definition of method of measurement,No,"Overa Wildlife Sanctuary, a 33-km² reserve in the Western Himalaya in Kashmir, India","""wing length to the nearest 0.5 mm"""
Phylloscopus sibilatrix,Tiainen 1982,https://www.jstor.org/stable/23734871,249,R&E2013,wing length,mm,79.1,22,1.61,75,21,1.36,NA,No,"Lammi Biological Station (61° 03'N, 25° 03' E)",wing length (Svensson 1975)
Phylloscopus trochilus,Tiainen 1982,https://www.jstor.org/stable/23734871,250,R&E2013,wing length,mm,71.4,138,1.46,65.7,117,1.46,NA,No,"Lammi Biological Station (61° 03'N, 25° 03' E)",wing length (Svensson 1975)
Plocepasser mahali,Leitner et al. 2009,https://doi.org/10.2989/OSTRICH.2009.80.2.6.833,251,R&E2013,wing length,mm,103.2,43,2.3,100.3,47,1.8,Cannot access the reported measurement method,No,"Esigodini, 20°08?–20°14? S and 28°56?–29°0? E, Zimbabwe","""measurements such as wing length (...) using standard methods following a protocol of the bird banding station at Vogelwarte Radolfzell (1995)"""
Poephila acuticauda,van Rooij & Griffith 2010,https://doi.org/10.1111/j.1439-0310.2010.01808.x,252,R&E2013,wing length,mm,58.87,126,1.571496,58.09,80,1.609969,"Wild population; reported SE.male: 0.14, SE.female: 0.18",No,"Eastern Kimberley, near Wyndham, Western Australia (S15°33'38'', E128°08'59'')",Wing length was measured from the carpal joint to the tip of the longest primary (+/- 0.1 mm)
Porphyrio porphyrio,Bertolero et al. 2016,https://doi.org/10.13157/arla.63.2.2016.ra3,253,new,wing chord,mm,263.3,61,5.6,254.8,71,4.5,Original species: Porphyri porphyrio; original trait: wing size,No,"Ebro delta, Spain (40° 40’ 44’’ N, 0° 50’ 03’’ E)","""maximum flattened wing chord (wing)"""
Porzana porzana,Eilers et al. 2012,https://doi.org/10.3161/000164512X653863,254,R&E2013,wing chord,mm,125.19,21,2.11,118.05,10,2.28,Original trait: wing length,No,"North-east Germany (53°50’N, 12°51’E)",maximum wing chord length (± 0.5 mm)
Prunella collaris,Davies et al. 1995,https://doi.org/10.1016/0003-3472(95)80209-6,255,R&E2013,wing length,mm,103.5,26,3.1,96.6,20,2,Original SD.male: 3.09593142857143,No,"Reserve Domaniale du Mont Valier, Ariege, central Pyretrees, France","Wing length was measured from the carpal joint to the tip of the longest primary, with the wing closed and pressed flat against a rule held along the long axis of the bird’s body."
Prunella modularis,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,256,R&E2013,wing length,mm,NA,NA,NA,68.1,26,1.2,"Original trait: wing, only young birds",No,"University of Sussex (50°53'N, 0°06'W)",
Prunella modularis,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,256,R&E2013,wing length,mm,71.1,34,1.3,NA,NA,NA,"Original trait: wing, only adult birds",No,"University of Sussex (50°53'N, 0°06'W)",
Pterodroma arminjoniana,Leal et al. 2019,https://doi.org/10.1080/17451000.2019.1596285,257,new,wing chord,mm,288.52,33,7.2,290,24,6.7,No clear definition of method of measurement,No,Trindade Island (20°30’S; 29°19’W),a metal ruler was used to take body measurements for wing chord (...) (at the nearest mm)
Puffinus yelkouan,Bourgeois et al. 2007,https://doi.org/10.1007/s10336-007-0127-3,258,R&E2013,wing length,mm,242.29,46,4.87,239.88,42,4.86,NA,No,"Port-Cros and Porquerolles islands (Hyères archipelago, south-east France, 43°00N, 6°23E and 43°00N, 6°12E)",wing length: maximum flattened chord from carpal joint to the tip of the longest primary
Pyrrhocorax graculus,Delestrade 2001,https://doi.org/10.1093/auk/118.2.553,259,R&E2013,wing length,mm,271.1,172,6,256.1,141,6.9,No clear definition of method of measurement,No,"Northern French Alps (Chamonix Valley, Haute-Savoie)",Wing (...) measured with a ruler (+/- 0.1 mm)
Rallus aquaticus,Eilers et al. 2012,https://doi.org/10.3161/000164512X653863,260,R&E2013,wing chord,mm,125.26,36,3.17,117.14,35,2.92,Original trait: wing length,No,"North-east Germany (53°50’N, 12°51’E)",maximum wing chord length (± 0.5 mm)
Rallus aquaticus,Stermin et al. 2018,http://biozoojournals.ro/nwjz/content/v14n2/nwjz_e171606_Stermin.pdf,261,new,wing length,mm,119.66,13,8.58,96.76,8,13.52,"Original mean.male: 8.579622, mean.female: NA, n.female: NA, SD.female: NA; AST: SD values are suspiciously high",No,"Transylvanian Plain (24°10?E; 46° 50'N), Romania","""maximum wing chord length"""
Rallus limicola,Fournier et al. 2013,https://doi.org/10.1002/wsb.323,262,new,wing chord,mm,103.5,32,3.24,99.35,20,4.7,NA,No,Ottawa National Wildlife Refuge,"wing chord were measured to the nearest mm (...) naturally folded wing, starting at the curve of the wrist and extending to the longest primary feather"
Rissa tridactyla,Helfenstein 2004,https://doi.org/10.1675/1524-4695(2004)027[0350:AMASSD]2.0.CO;2,263,R&E2013,wing length,mm,317.1,95,8.5,308.1,123,5.6,NA,No,"Cap-Sizun in Brittany, France (48°50’N, 4°35’W)",stop-ended ruler for flattened wing length (±1 mm)
Rissa tridactyla,Helfenstein 2004,https://doi.org/10.1675/1524-4695(2004)027[0350:AMASSD]2.0.CO;2,264,R&E2013,wing length,mm,312.1,24,4.7,302.6,21,6.7,Estimates originally extracted by Helfenstein 2004 from  Cramp 1983; cannot access source,No,"North Shields, UK",NA
Rissa tridactyla,Helfenstein 2004,https://doi.org/10.1675/1524-4695(2004)027[0350:AMASSD]2.0.CO;2,265,R&E2013,wing length,mm,327.9,36,5.6,317.5,37,6.6,"Estimates originally extracted by Helfenstein 2004 from  Jodice et al. 2000; reported SE.male: 0.94, SE.female: 1.08; original SD.male: 5.6, SD.female: 2.1",No,"Middleton Island, Alaska (58°28'N, 146°19'W)",wing lengths with a ruler to +/- 1 mm; lattened wing length
Rissa tridactyla,Porter 1990,https://doi.org/10.1016/S0003-3472(05)80930-3,264,R&E2013,wing length,mm,311.2,258,8.83,303.1,264,9.75,"Estimates are the weighted mean of two groups differing in distance to the nearest nest; original SD.male: 6.15480604065828, SD.female: 6.56692831788079; reported SE.male: 0.5 and 0.6, SE.female: 0.5 and 0.7; original mean.male: 311.15, mean.female: 302.91",No,"River Tyne in North Shields, Tyne and Wear, U.K. (55°01'N, 01°27'W)",NA
Selasphorus rufus,Stiles et al. 2005,https://doi.org/10.1093/auk/122.3.872,266,new_21,wing length,mm,40.93,8,0.74,44.72,5,0.64,NA,No,Not tracked,Not tracked
Selasphorus sasin,Stiles et al. 2005,https://doi.org/10.1093/auk/122.3.872,267,new_21,wing length,mm,38.75,2,0.35,41.7,1,NA,NA,No,Not tracked,Not tracked
Serinus citrinella,Borras et al. 1998,https://www.researchgate.net/profile/Antoni-Borras/publication/227655834_Sex_and_age_related_biometrical_patterns_in_Pyrenean_Citril_Finches_Serinus_citrinella/links/02e7e519e50e4448bc000000/Sex-and-age-related-biometrical-patterns-in-Pyrenean-Citril-Finches-Serinus-citrinella.pdf,268,new,wing length,mm,80.59,102,1.74,77.91,64,1.87,AST,No,Eastern Pyrenees,maximum chord
Serinus citrinella,Borras et al. 1998,https://www.researchgate.net/profile/Antoni-Borras/publication/227655834_Sex_and_age_related_biometrical_patterns_in_Pyrenean_Citril_Finches_Serinus_citrinella/links/02e7e519e50e4448bc000000/Sex-and-age-related-biometrical-patterns-in-Pyrenean-Citril-Finches-Serinus-citrinella.pdf,269,new,wing length,mm,79,211,1.5,77.08,211,1.51,"AST: reported in Borras et al. 1998 but from Brandl & Bezzel 1989; cannot get access to the reference to extract sample sizes for adult males and adult females separately, so I made the assumption that group sample size is equal, and thus, that total sample size can be split into four to obtain an estimate of sample size per group.",NA,Eastern Alps,maximum chord
Serinus citrinella,Borras et al. 1998,https://www.researchgate.net/profile/Antoni-Borras/publication/227655834_Sex_and_age_related_biometrical_patterns_in_Pyrenean_Citril_Finches_Serinus_citrinella/links/02e7e519e50e4448bc000000/Sex-and-age-related-biometrical-patterns-in-Pyrenean-Citril-Finches-Serinus-citrinella.pdf,270,new,wing length,mm,79.03,69,1.85,76.62,69,1.91,"AST: reported in Borras et al. 1998 but from Marki & Biber 1975; cannot get access to the reference to extract sample sizes  for adult males and adult females separately, so I made the assumption that group sample size is equal, and thus, that total sample size can be split into 2  to obtain an estimate of sample size per group.",NA,Swiss Jura,maximum chord
Sitta europaea,Nilsson et al.  1993,https://doi.org/10.1093/beheco/4.4.369,271,R&E2013,wing length,mm,90.1,10,1.2,87.9,8,1.2,AST: added measurements of individuals in the control and experimental groups separately rather than doing a weighted average,No,"Lund, southern Sweden, Experimental birds",simply as wing lengths
Sitta europaea,Nilsson et al.  1993,https://doi.org/10.1093/beheco/4.4.369,272,R&E2013,wing length,mm,90,9,1.3,87,7,1.5,AST: added measurements of individuals in the control and experimental groups separately rather than doing a weighted average,No,"Lund, southern Sweden, Control birds",simply as wing lengths
Spilopelia senegalensis,Ayadi et al. 2016,https://doi.org/10.2989/00306525.2016.1188173,273,new,wing length,mm,148.11,39,3.63,142.71,22,4.46,"AST: Although study said to report SE, it can only be SD so that min and max values reported make sense",No,"Kettana oasis (33°45? N, 10°13? E)",
Stercorarius parasiticus,Catry et al. 1991,https://doi.org/10.2307/4089462,274,R&E2013,wing chord,mm,320.3,44,5,327.2,53,5.9,There seems to be no report of the measurement method,No,"Foula, Shetland (60°08'N, 2°05'W)",simply as wing lengths
Stercorarius skua,Phillips et al. 2002,https://academic.oup.com/auk/article/119/3/858/5561865,275,R&E2013,wing length,mm,412.4,101,6.9,424.3,101,7.6,NA,No,South Georgia,maximum flattened chord
Sterna hirundo,Nisbet et al. 2007,https://doi.org/10.1675/1524-4695(2007)30[169:SDFPAT]2.0.CO;2,276,R&E2013,wing length,mm,265.4,123,6.2107,264.4,124,6.235896,NA,No,"Bird Island (41°40’N, 70°43’W) in Buzzards Bay, Massachusetts",unflattened wing length
Sterna hirundo,Wendeln et al. 1997,https://www.zobodat.at/pdf/Vogelwarte_39_1997_0141-0148.pdf,302,R&E2013,wing length,mm,270.8,41,6.1,270.2,45,6.9,NA,No,"Banter See, Germany",
Sterna paradisaea,Devlin et al. 2004,https://doi.org/10.1675/1524-4695(2004)027[0314:SATITF]2.0.CO;2,277,R&E2013,wing chord,mm,271,78,6.4,267,88,6.7,NA,No,"Machias Seal Island in the Bay of Fundy, Canada (44°30’N, 67°06’W)",natural or unflattened wing chord
Sturnus unicolor,Lezana et al. 2000,https://biblio.naturalsciences.be/associated_publications/bjz/bibliographic-references/130-2/volume-130-2-pp-139-142.pdf,278,R&E2013,wing length,mm,132.4,107,2.6,127.8,122,4.4,NA,No,"Calahorra, Northern Spain (42º19’N 1º58’W)",maximum wing span
Sula dactylatra,Weimerskirch et al. 2009,https://doi.org/10.1007/s00442-009-1397-7,279,R&E2013,wing length,mm,424.3,25,10.6,431.7,22,8.5,NA,No,"Clipperton Island (109.2°W, 10.3°N)",simply as wing lengths
Sula leucogaster,Lewis et al. 2005,https://doi.org/10.1111/j.1474-919x.2005.00428.x,280,R&E2013,wing length,mm,415,12,11,427,13,11,NA,No,"Johnston Atoll (16°45?N, 169°30?W)",simply as wing lengths
Sula leucogaster,Weimerskirch et al. 2009,https://doi.org/10.3354/meps07981,281,new,wing length,mm,393.5,15,15.7,419.1,14,8.1,AST: added by AST,No,"Gulf of California, Mexico",simply as wing lengths
Sula nebouxii,Weimerskirch et al. 2009,https://doi.org/10.3354/meps07981,282,new,wing length,mm,412.7,17,9,433.1,17,10.2,AST: added by AST,No,"Gulf of California, Mexico",simply as wing lengths
Sula sula,Lewis et al. 2005,https://doi.org/10.1111/j.1474-919x.2005.00428.x,283,new,wing length,mm,405,16,10,417,15,11,AST: added by AST,No,"Johnston Atoll (16°45?N, 169°30?W)",simply as wing lengths
Sula sula,Weimerskirch et al. 2006,https://doi.org/10.1007/s00442-005-0226-x,284,R&E2013,wing length,mm,383.9,31,7.7,394.1,36,8.9,NA,No,"Europa Island (22.3°S, 40.3°E)",simply as wing lengths
Sylvia nisoria,Payevski et al. 2003,https://www.zin.ru/labs/ornithology/payevsky/pdf/10-Payevsky-2003.pdf,285,R&E2013,wing length,mm,87.73,516,2.19,87.08,384,2.1,NA,No,Biological Station Rybachy on the Courish Spit on the Baltic Sea,
Tachycineta bicolor,Kempenaers et al. 1999,https://doi.org/10.1093/beheco/10.3.304,286,R&E2013,wing length,mm,120.2,35,2.8,115.9,36,3.1,AST: added measurements of individuals with and without separately rather than doing a weighted average,No,"Queen's University Biological Station (44°34? N, 76°19? W), Chaffeys Locks, Ontario, Canada",simply as wing chord
Tachycineta bicolor,Kempenaers et al. 1999,https://doi.org/10.1093/beheco/10.3.304,286,R&E2013,wing length,mm,119.7,13,4.6,116.8,13,2.5,AST: added measurements of individuals with and without separately rather than doing a weighted average,No,"Queen's University Biological Station (44°34? N, 76°19? W), Chaffeys Locks, Ontario, Canada",simply as wing chord
Tachycineta bicolor,Wiggins & Pärt 1995,https://doi.org/10.2307/1369003,287,R&E2013,wing length,mm,121.1,29,3,115.8,29,2.4,NA,No,"Creston Valley Wildlife Management Area in southeastern British Columbia, Canada and on the island of Gotland, in southern Sweden","""Adult wing length (flattened wing chord) was measured on a ruler to the nearest mm."""
Thryothorus leucotis,Gill & Vonhof 2006,https://sora.unm.edu/node/119775,288,R&E2013,wing chord,mm,62.5,31,1.7,58.2,37,1.4,NA,No,"Gamboa, Republic of Panama (09°07?N, 79°42?W)",unflattened wing chord
Thryothorus ludovicianus,Haggarty 2006,https://doi.org/10.1111/j.1557-9263.2006.00051.x,289,R&E2013,wing chord,mm,59.1,141,1.5,55.3,131,1.3,NA,No,"Tennessee Valley Authority Reservation in Muscle Shoals, Colbert County, Alabama (34? 49 N, 87? 38 W)",distance from bend of unflattened wing to the tip of longest primary
Troglodytes troglodytes,Harper 1999,https://doi.org/10.1006/anbe.1999.1154,290,R&E2013,wing length,mm,50.7,30,1.3,47.8,27,1.4,"Original trait: wing, only young birds",No,"University of Sussex (50°53'N, 0°06'W)",Not tracked
Turdus amaurochalinus,Silva et al. 2011,https://www.scielo.sa.cr/scielo.php?pid=S0034-77442011000200020&script=sci_arttext&tlng=en,291,new,wing length,mm,117.1,20,3.3,112.9,22,2.9,NA,No,"Restinga de Jurubatiba National Park, located at the Eastern coast of Rio de Janeiro State, Brazil (22º00’ - 22º23’ S, 41º15’ - 41º45’ W).",simply as wing lengths
Turdus merula,McCollin et al. 2015,https://doi.org/10.1080/00063657.2015.1061476,292,new_21,wing length,mm,131.3,383,3.38,126.4,282,3.13,data derived from volunteer collected sampling; AST: added by AST,No,710 sites from 50°50?N 0°19?W to 57°30?N 2°18?W,simply as wing lengths
Turdus philomelos,McCollin et al. 2015,https://doi.org/10.1080/00063657.2015.1061476,293,new_21,wing length,mm,119.8,85,2.98,117.2,59,2.45,data derived from volunteer collected sampling; AST: added by AST,No,710 sites from 50°50?N 0°19?W to 57°30?N 2°18?W,simply as wing lengths
Tyrannus forficatus,Regosin & Pruet-Jones 2001,https://doi.org/10.1093/auk/118.1.167,294,R&E2013,wing chord,mm,124.4,51,3.6076,114.3,57,3.429,NA,No,"Fort Sill Military Reservation in Comanche County, southwestern Oklahoma",flattened wing chord length
Tyrannus tyrannus,Murphy 2007,https://doi.org/10.1093/auk/124.2.515,295,R&E2013,wing chord,mm,117.6,27,2.06,110.7,31,2.42,NA,No,"Douglas County, Kansas",simply as wing chord
Vanellus cinereus,Wakisaka et al. 2006,https://doi.org/10.2326/osj.5.133,296,R&E2013,wing length,mm,236.9,14,7.5,235.5,12,4.6,NA,No,"Ogura reclaimed land, Kyoto, Japan (34.9°N, 135.8°E)",wing length (unflattened)
Vidua paradisaea,Barnard 1995,https://doi.org/10.1111/j.1095-8312.1995.tb01055.x,297,R&E2013,wing length,mm,82.17,112,1.5,78.1,102,1.42,NA,No,central Namibi,flattened right wing chord
Vidua regia,Barnard 1995,https://doi.org/10.1111/j.1095-8312.1995.tb01055.x,298,R&E2013,wing length,mm,74.13,39,1.24,70.51,67,1.69,NA,No,central Namibi,flattened right wing chord
Volatinia jacarina,Carvalho et al. 2007,https://doi.org/10.1590/S1519-69842007000200012,299,R&E2013,wing length,mm,51,88,1.8,48.9,58,1.4,NA,No,Fazenda Água Limpa (15° 57’ S and 47° 56’ W),simply as wing lengths
Yuhina brunneiceps,Yuan et al. 2006,https://doi.org/10.1676/05-809.1,300,R&E2013,wing chord,mm,63.5,26,1.6,61.9,31,1.6,"AST: unflattened wing chord length also reported, but decided to only extract the flattened one",No,"Highlands Experiment Farm at Meifeng, National Taiwan University, in central Taiwan (24°?05??N, 121°?10??E; 2,150-m elevation)",flattened wing chord length
Zonotrichia leucophrys oriantha,Laubach et al. 2015,https://doi.org/10.1642/AUK-15-9.1,301,new,wing chord,mm,79.1,29,2.1,74.9,29,1.9,NA,No,"free-living population of Mountain White-crowned Sparrows from 2006 to 2009 at the Rocky Mountain Biological Laboratory in Gothic (Colorado, USA).",simply as wing chord
Accipter cooperi,Rosenfield et al. 2010,https://doi.org/10.1525/cond.2010.090148,310,new_21,wing chord,mm,227,53,4.222,256.8,45,5.367,birds caught at their nests within 9 years,No,free living population British columbia,simply as wing chord
Accipter cooperi,Rosenfield et al. 2010,https://doi.org/10.1525/cond.2010.090148,311,new_21,wing chord,mm,232.6,42,5.249,264.3,38,5.548,birds caught at their nests within 9 years,No,free living population North Dakota,simply as wing chord
Accipter cooperi,Rosenfield et al. 2010,https://doi.org/10.1525/cond.2010.090148,312,new_21,wing chord,mm,234.3,25,4.35,265.7,30,4.874,birds caught at their nests within 9 years,No,free living population border area North Dakota/Minnesota,simply as wing chord
Accipter cooperi,Rosenfield et al. 2010,https://doi.org/10.1525/cond.2010.090148,313,new_21,wing chord,mm,236.9,68,5.36,266.8,58,5.483,birds caught at their nests within 9 years,No,free living population Wisconsin,simply as wing chord
Gallinula galeata sandvicensis,van Rees et al. 2021,https://doi.org/10.2984/74.4.3,314,new_21,wing chord,mm,174.3,54,7.863,168.27,30,6.846,bird caught in the field with traps,No,free living birds from O'ahu Hawai,flattened wing chord
Charadrius alexandrinus,Kuepper et al. 2009,https://doi.org/10.1525/auk.2009.08174,315,new_21,wing length,mm,108.59,40,2.57,106.55,40,3.47,,No,free living birds from Ceuta (Mexico),simply as wing length
Charadrius alexandrinus,Kuepper et al. 2009,https://doi.org/10.1525/auk.2009.08174,316,new_21,wing length,mm,110.33,40,3.83,109.25,40,2.79,,No,free living birds from Al-Wathba (UAE),simply as wing length
Charadrius alexandrinus,Kuepper et al. 2009,https://doi.org/10.1525/auk.2009.08174,317,new_21,wing length,mm,112.31,40,2.44,111.79,40,3.18,,No,free living birds from Donana (Spain),simply as wing length
Charadrius alexandrinus,Kuepper et al. 2009,https://doi.org/10.1525/auk.2009.08174,318,new_21,wing length,mm,108.9,40,3.54,108.89,40,2.91,,No,free living birds from Tuzla (Turkey),simply as wing length
Charadrius alexandrinus,Kuepper et al. 2009,https://doi.org/10.1525/auk.2009.08174,319,new_21,wing length,mm,111.45,40,3.36,111.88,40,2.91,,No,free living birds from Miklapuszta (Hungary),simply as wing length
Accipiter novaehollandiae,Burton & Alford 1994,https://ur.booksc.eu/book/57900478/f33450,320,new_21,wing length,mm,251.1,10,4.46,297.56,9,3.88,birds caught in the field with traps,No,free living birds from Queensland (Australia) over 3 years,simply as wing length
Accipiter fasciatus,Burton & Alford 1994,https://ur.booksc.eu/book/57900478/f33450,321,new_21,wing length,mm,256.67,9,8.51,290.92,24,9.82,birds caught in the field with traps,No,free living birds from Queensland (Australia) over 3 years,simply as wing length
Geospiza fortis,Vanhooydonck et al. 2009,https://doi.org/10.1111/j.1095-8312.2009.01269.x,322,new_21,wing chord,mm,62.13,3,2.494,58.07,3,2.148,birds caught in the field with mistnets,No,free living birds from Santa Cruz (Galapagos),wing chord (was less variable than wing length)
Geospiza fortis,Vanhooydonck et al. 2009,https://doi.org/10.1111/j.1095-8312.2009.01269.x,322,new_21,wing chord,mm,61.61,23,3.453,58.16,20,2.46,birds caught in the field with mistnets,No,free living birds from Santa Cruz (Galapagos),wing chord (was less variable than wing length)
Geospiza fortis,Vanhooydonck et al. 2009,https://doi.org/10.1111/j.1095-8312.2009.01269.x,322,new_21,wing chord,mm,60.99,26,2.702,58.03,28,2.646,birds caught in the field with mistnets,No,free living birds from Santa Cruz (Galapagos),wing chord (was less variable than wing length)
Geospiza fortis,Vanhooydonck et al. 2009,https://doi.org/10.1111/j.1095-8312.2009.01269.x,322,new_21,wing chord,mm,57.49,32,2.715,55.81,25,2.25,birds caught in the field with mistnets,No,free living birds from Santa Cruz (Galapagos),wing chord (was less variable than wing length)
Branta leucopsis,van der Jeugd et al. 2003,https://doi.org/10.1007/s00300-003-0535-7,324,new_21,wing length,mm,431.8,22,13.1,408.9,21,8.6,birds caught in the field,No,"free living birds in Pechora delta, Russia","wing length was measured using the maximum cord method, i.e. by flattening and straightening the closed wing as much as possible and then measuring from the proximal end of the carpometacarpus to the tip of the longest primary to the nearest 1 mm using a steel ruler with zero stop."
Podiceps grisegena,Kloskowski et al. 2006,https://doi.org/10.3161/068.041.0203,325,new_21,wing length,mm,171.1,39,6.2,171.1,37,6.2,"birds caught in the field and sexed, SD reconstructed from CV values",No,free living birds in eastern Poland,flattened wing measured from the wrist to the tip of the longest primary
